geo_1,sector,count
Africa,"Agriculture, forestry & fisheries",976
Africa,Manufactures,5369
Africa,Minerals & fuels,132
Africa,Other goods,256
Americas,"Agriculture, forestry & fisheries",1632
Americas,Manufactures,7868
Americas,Minerals & fuels,246
Americas,Other goods,277
Asia,"Agriculture, forestry & fisheries",6380
Asia,Manufactures,23202
Asia,Minerals & fuels,1070
Asia,Other goods,681
Europe,"Agriculture, forestry & fisheries",3427
Europe,Manufactures,22392
Europe,Minerals & fuels,534
Europe,Other goods,633
Oceania & Antarctica,"Agriculture, forestry & fisheries",1807
Oceania & Antarctica,Manufactures,6721
Oceania & Antarctica,Minerals & fuels,281
Oceania & Antarctica,Other goods,297
